memory_depth,score,time
1,2.6260000000000003,0.04765033721923828
1,2.6220000000000003,0.19762372970581055
1,2.6290000000000004,0.21018242835998535
1,2.615,0.16976261138916016
1,2.6260000000000003,0.14605259895324707
1,2.608,0.08407735824584961
1,2.6260000000000003,0.19039702415466309
1,2.627,0.23753881454467773
1,2.6350000000000002,0.17506146430969238
1,2.617,0.06895828247070312
1,2.608,0.2660231590270996
1,2.616,0.21125459671020508
1,2.6290000000000004,0.10349202156066895
1,2.628,0.17695832252502441
1,2.628,0.17361831665039062
1,2.63,0.04876589775085449
1,2.627,0.0518033504486084
1,2.619,0.16380953788757324
1,2.64,0.10650181770324707
1,2.6260000000000003,0.17673110961914062
1,2.615,0.1483008861541748
1,2.621,0.05687379837036133
1,2.614,0.10282015800476074
1,2.621,0.08774352073669434
1,2.62,0.1084287166595459
1,2.62,0.0762176513671875
1,2.605,0.12009406089782715
1,2.613,0.11234545707702637
1,2.609,0.0986027717590332
1,2.631,0.0684201717376709
2,2.736,1.3529949188232422
2,2.479,0.36075758934020996
2,2.804,0.7696449756622314
2,2.713,1.0070230960845947
2,2.772,1.5393719673156738
2,2.676,1.5186576843261719
2,2.739,1.042849063873291
2,2.77,1.2726938724517822
2,2.701,1.2011427879333496
2,2.543,0.5754544734954834
2,2.6980000000000004,0.6038000583648682
2,2.782,0.9288427829742432
2,2.6580000000000004,0.3403143882751465
2,2.826,1.7059597969055176
2,2.714,1.0553796291351318
2,2.5519999999999996,0.8235788345336914
2,2.724,0.5944092273712158
2,2.447,1.1320018768310547
2,2.7150000000000003,0.698002815246582
2,2.632,0.5661649703979492
2,2.588,0.940558910369873
2,2.776,1.120722770690918
2,2.7470000000000003,0.40398740768432617
2,2.748,0.7215192317962646
2,2.3549999999999995,0.49901533126831055
2,2.706,0.6354455947875977
2,2.64,0.33753180503845215
2,2.79,0.5381221771240234
2,2.7880000000000003,0.5719876289367676
2,2.692,0.705674409866333
3,2.675,2.5282416343688965
3,2.645,1.6948537826538086
3,2.695,1.1096651554107666
3,2.5379999999999994,1.4050319194793701
3,2.699,2.232853889465332
3,2.6020000000000003,2.9564146995544434
3,2.634,1.4989466667175293
3,2.6350000000000002,2.497529983520508
3,2.72,2.496325731277466
3,2.6150000000000007,3.29089093208313
3,2.6079999999999997,2.398376941680908
3,2.657,4.394701719284058
3,2.66,3.4797887802124023
3,2.717,4.0640411376953125
3,2.664,2.88020920753479
3,2.7960000000000003,4.094174861907959
3,2.492,3.0882201194763184
3,2.717,3.1656906604766846
3,2.6710000000000003,1.9288005828857422
3,2.69,2.2740697860717773
3,2.723,2.225717067718506
3,2.69,2.1752164363861084
3,2.723,2.2129528522491455
3,2.527,1.7464795112609863
3,2.7359999999999998,0.7383406162261963
3,2.766,2.752150058746338
3,2.7300000000000004,2.1927919387817383
3,2.6189999999999998,1.9375624656677246
3,2.682,2.051654100418091
3,2.723,1.6735939979553223
4,2.555,5.907529354095459
4,2.56,9.829869508743286
4,2.709,5.206247806549072
4,2.6239999999999997,7.852468729019165
4,2.694,7.613861322402954
4,2.5740000000000003,5.377746105194092
4,2.505,8.696772813796997
4,2.5490000000000004,11.186094999313354
4,2.636,8.610057353973389
4,2.587,6.770118951797485
4,2.6740000000000004,7.632127285003662
4,2.6149999999999998,5.609001398086548
4,2.4959999999999996,5.410994529724121
4,2.399,5.116075277328491
4,2.4690000000000003,4.834413766860962
4,2.687,5.8934550285339355
4,2.452,6.47667121887207
4,2.573,2.6750595569610596
4,2.446,6.5184972286224365
4,2.617,4.7235352993011475
4,2.648,6.195908308029175
4,2.4490000000000007,5.35644006729126
4,2.662,4.734546184539795
4,2.569,2.557459831237793
4,2.6799999999999997,7.037564516067505
4,2.5260000000000002,7.172199010848999
4,2.606,2.621924877166748
4,2.691,8.14283275604248
4,2.661,8.334984540939331
4,2.6580000000000004,2.7460458278656006
5,2.6500000000000004,45.08840751647949
5,2.602,35.91724681854248
5,2.628,44.61042809486389
5,2.6879999999999997,30.675966262817383
5,2.649,41.515156269073486
5,2.6510000000000002,22.561004161834717
5,2.7249999999999996,34.21774411201477
5,2.631,41.064066886901855
5,2.657,40.70980954170227
5,2.5060000000000002,30.427258253097534
5,2.541,23.24119234085083
5,2.588,40.820263624191284
5,2.591,35.198917627334595
5,2.648,35.026029109954834
5,2.6420000000000003,39.15696620941162
5,2.505,17.468778133392334
5,2.5919999999999996,26.409904956817627
5,2.6759999999999997,22.74272632598877
5,2.689,22.56899118423462
5,2.5460000000000003,25.5936758518219
5,2.518,21.356531620025635
5,2.619,17.643912076950073
5,2.693,17.537419319152832
5,2.6100000000000003,26.290168285369873
5,2.5770000000000004,22.049533128738403
5,2.671,23.529839038848877
5,2.6119999999999997,19.012882471084595
5,2.511,24.650157928466797
5,2.572,23.476449728012085
5,2.6510000000000002,11.896000623703003
