memory_depth,score,time
1,2.5949999999999998,0.1749739646911621
1,2.614,0.1608138084411621
1,2.619,0.1742091178894043
1,2.6350000000000002,0.16078448295593262
1,2.611,0.17445898056030273
1,2.623,0.17798161506652832
1,2.636,0.1776113510131836
1,2.6290000000000004,0.15595674514770508
1,2.609,0.16425347328186035
1,2.618,0.16278409957885742
1,2.616,0.17507338523864746
1,2.62,0.15827226638793945
1,2.6100000000000003,0.16751360893249512
1,2.6239999999999997,0.17359471321105957
1,2.628,0.17335772514343262
1,2.616,0.17530012130737305
1,2.62,0.1729106903076172
1,2.62,0.16996335983276367
1,2.609,0.16454148292541504
1,2.613,0.16284704208374023
1,2.615,0.15603137016296387
1,2.625,0.16998958587646484
1,2.598,0.16927862167358398
1,2.605,0.1705174446105957
1,2.625,0.16816425323486328
1,2.616,0.16356277465820312
1,2.6350000000000002,0.1704721450805664
1,2.607,0.15889215469360352
1,2.6220000000000003,0.15398287773132324
1,2.637,0.16736245155334473
2,2.7939999999999996,14.689871311187744
2,2.758,14.200739622116089
2,2.779,13.761250495910645
2,2.787,15.394863367080688
2,2.816,14.735483407974243
2,2.7800000000000002,14.664766311645508
2,2.758,15.165752649307251
2,2.781,15.8247230052948
2,2.7939999999999996,15.685749530792236
2,2.8129999999999997,15.655265092849731
2,2.789,14.080358266830444
2,2.778,16.012489318847656
2,2.804,14.116821765899658
2,2.804,14.661051511764526
2,2.808,13.928478002548218
2,2.806,15.370874881744385
2,2.786,15.272440195083618
2,2.81,13.099780797958374
2,2.8,14.794841527938843
2,2.786,13.60521125793457
2,2.818,15.052327394485474
2,2.808,15.152634382247925
2,2.786,14.158786058425903
2,2.814,13.779456377029419
2,2.758,14.374576807022095
2,2.807,14.0162193775177
2,2.79,14.427200078964233
2,2.746,14.267780065536499
2,2.782,13.687954664230347
2,2.762,14.38065242767334
3,2.794,67.79541730880737
3,2.784,67.17448091506958
3,2.7800000000000002,67.20399498939514
3,2.7640000000000002,67.96006155014038
3,2.755,67.31952619552612
3,2.7730000000000006,66.77717161178589
3,2.7800000000000002,68.31144452095032
3,2.77,66.83901929855347
3,2.802,66.70959448814392
3,2.7600000000000002,67.32193112373352
3,2.7800000000000002,72.06330704689026
3,2.762,67.47737050056458
3,2.752,66.82479190826416
3,2.7760000000000002,67.948486328125
3,2.7960000000000003,68.07004618644714
3,2.766,67.08208966255188
3,2.7620000000000005,67.37754845619202
3,2.8120000000000003,69.12353134155273
3,2.818,67.58997988700867
3,2.7600000000000002,67.59956288337708
3,2.782,67.65941500663757
3,2.7680000000000002,67.85803294181824
3,2.7870000000000004,67.51664519309998
3,2.798,68.04204893112183
3,2.77,67.99789714813232
3,2.758,67.19958519935608
3,2.7640000000000002,68.06293034553528
3,2.743,67.7820816040039
3,2.774,68.17803812026978
3,2.77,65.61145114898682
4,2.686,267.3566646575928
4,2.728,268.001802444458
4,2.679,268.28869676589966
4,2.758,272.59620213508606
4,2.695,271.85338950157166
4,2.711,270.87469816207886
4,2.7110000000000003,272.0183665752411
4,2.6109999999999998,291.16424465179443
4,2.689,267.47856640815735
4,2.7109999999999994,274.57748770713806
4,2.6420000000000003,296.5010452270508
4,2.761,268.4169645309448
4,2.723,270.88672065734863
4,2.751,291.40385484695435
4,2.7190000000000003,271.33789253234863
4,2.6710000000000003,287.68949913978577
4,2.75,280.0702576637268
4,2.6860000000000004,281.3772134780884
4,2.753,288.947491645813
4,2.725,288.5416011810303
4,2.6719999999999997,283.6828284263611
4,2.75,279.02180671691895
4,2.712,286.0363733768463
4,2.657,288.38938331604004
4,2.7289999999999996,286.5442359447479
4,2.732,285.5780873298645
4,2.6990000000000003,282.0164222717285
4,2.798,276.7613661289215
4,2.6990000000000003,276.2043673992157
4,2.749,272.0487017631531
5,2.728,1096.6540989875793
5,2.652,1083.2095761299133
5,2.718,1088.6119906902313
5,2.708,1093.5720965862274
5,2.689,1085.4641399383545
5,2.679,1091.8038861751556
5,2.712,1096.687695980072
5,2.6959999999999997,1104.4302451610565
5,2.702,1080.2244081497192
5,2.657,1086.9601273536682
5,2.649,1092.5759663581848
5,2.619,1123.9325218200684
5,2.679,1116.0587465763092
5,2.6859999999999995,1088.0702385902405
5,2.7079999999999997,1088.1479427814484
5,2.6310000000000002,1120.6077156066895
5,2.714,1096.4127416610718
5,2.517,1163.2499196529388
5,2.707,1158.8675405979156
5,2.679,1105.118581533432
5,2.6759999999999997,1100.4654483795166
5,2.637,1117.3556945323944
5,2.7,1096.81938290596
5,2.7500000000000004,1107.5646297931671
5,2.66,1159.6046464443207
5,2.71,1119.2309334278107
5,2.6159999999999997,1119.8304495811462
5,2.5940000000000003,1114.6265141963959
5,2.742,1096.443725824356
5,2.6190000000000007,1134.9661419391632
