generations,score,time
5,2.6260000000000003,1.7037968635559082
5,2.725,1.6160688400268555
5,2.768,1.7700111865997314
5,2.653,1.369757890701294
5,2.618,1.2613067626953125
5,2.543,1.6682496070861816
5,2.5100000000000002,1.3089165687561035
5,2.628,1.3388574123382568
5,2.6480000000000006,1.1919360160827637
5,2.622,1.0155847072601318
5,2.563,1.7538743019104004
5,2.689,0.7704143524169922
5,2.582,1.700568675994873
5,2.574,0.7904317378997803
5,2.729,1.4851491451263428
5,2.5540000000000003,1.7374026775360107
5,2.717,1.488144874572754
5,2.568,1.167989730834961
5,2.696,1.7007784843444824
5,2.576,1.6125411987304688
5,2.706,1.461491346359253
5,2.638,1.2954165935516357
5,2.599,1.8276276588439941
5,2.746,1.668492078781128
5,2.627,1.7024316787719727
5,2.6380000000000003,1.5675766468048096
5,2.661,1.4737310409545898
5,2.628,0.8025805950164795
5,2.71,1.2232558727264404
5,2.629,1.3332257270812988
5,2.363,1.2337582111358643
5,2.742,1.6115610599517822
5,2.628,1.6386308670043945
5,2.7239999999999998,1.6004245281219482
5,2.645,1.0723762512207031
5,2.713,0.808912992477417
5,2.721,1.2797002792358398
5,2.729,1.5721831321716309
5,2.5780000000000003,1.3866372108459473
5,2.783,1.601144790649414
5,2.6990000000000003,1.063830852508545
5,2.697,1.294111728668213
5,2.651,1.6111323833465576
5,2.745,1.606792688369751
5,2.695,1.6250760555267334
5,2.753,1.350163459777832
5,2.6499999999999995,1.0627167224884033
5,2.589,0.5453464984893799
5,2.71,1.0675599575042725
5,2.6870000000000003,1.6445252895355225
5,2.7359999999999998,1.040334939956665
5,2.5580000000000003,1.1465744972229004
5,2.712,1.565781831741333
5,2.6770000000000005,1.6228888034820557
5,2.6,1.0746476650238037
5,2.6130000000000004,1.1078782081604004
5,2.7119999999999997,0.771094799041748
5,2.478,1.0278818607330322
5,2.6160000000000005,1.7378177642822266
5,2.576,1.7832155227661133
5,2.516,1.7356929779052734
5,2.6510000000000002,1.6322028636932373
5,2.6689999999999996,1.6629180908203125
5,2.688,1.6646747589111328
5,2.636,0.7997105121612549
5,2.661,1.343808889389038
5,2.5540000000000003,0.8484537601470947
5,2.469,1.1364338397979736
5,2.618,1.3611083030700684
5,2.719,1.1293413639068604
5,2.733,1.0459346771240234
5,2.7359999999999998,1.4197540283203125
5,2.6710000000000003,0.808384895324707
5,2.652,1.0855929851531982
5,2.586,1.647291898727417
5,2.681,1.5698237419128418
5,2.684,1.1029179096221924
5,2.705,1.6759107112884521
5,2.734,1.6349856853485107
5,2.6090000000000004,1.2343103885650635
5,2.696,1.0754704475402832
5,2.6180000000000003,1.671442985534668
5,2.505,1.1444265842437744
5,2.6390000000000002,1.3954055309295654
5,2.641,1.7290632724761963
5,2.649,1.0372397899627686
5,2.418,1.2074337005615234
5,2.6630000000000003,0.7833011150360107
5,2.6719999999999997,0.5662705898284912
5,2.7020000000000004,1.3605716228485107
5,2.726,1.1696741580963135
5,2.6670000000000003,1.063263177871704
5,2.708,1.5483739376068115
5,2.6209999999999996,0.33097100257873535
5,2.657,1.1312751770019531
5,2.6590000000000003,0.9864022731781006
5,2.75,1.3247675895690918
5,2.638,0.5372037887573242
5,2.4940000000000007,1.2009015083312988
5,2.7090000000000005,0.798954963684082
8,2.6159999999999997,1.2372608184814453
8,2.7119999999999997,2.0212080478668213
8,2.707,1.7924225330352783
8,2.6260000000000003,0.5458948612213135
8,2.5060000000000002,1.5378997325897217
8,2.746,1.3943216800689697
8,2.67,1.7438783645629883
8,2.545,1.926257610321045
8,2.71,0.9742012023925781
8,2.706,2.1742560863494873
8,2.702,1.2011137008666992
8,2.483,1.3343307971954346
8,2.706,0.9488523006439209
8,2.7030000000000003,1.3530828952789307
8,2.681,1.2442166805267334
8,2.7090000000000005,0.8001906871795654
8,2.695,2.0219333171844482
8,2.676,1.09808349609375
8,2.718,2.5755603313446045
8,2.645,0.8740019798278809
8,2.7030000000000003,1.7733478546142578
8,2.6719999999999997,0.7984788417816162
8,2.707,1.2258532047271729
8,2.624,2.631570816040039
8,2.668,1.5044677257537842
8,2.694,1.125028371810913
8,2.7079999999999997,0.9653763771057129
8,2.706,1.6413204669952393
8,2.6149999999999998,1.7878615856170654
8,2.56,0.8130180835723877
8,2.4629999999999996,1.519587516784668
8,2.6439999999999997,0.8745038509368896
8,2.648,1.7818729877471924
8,2.6510000000000002,1.5294806957244873
8,2.5800000000000005,1.1927592754364014
8,2.702,1.7724087238311768
8,2.5970000000000004,2.521848201751709
8,2.641,1.9397411346435547
8,2.7439999999999998,1.7183356285095215
8,2.6740000000000004,1.4101347923278809
8,2.678,1.695755958557129
8,2.6,0.8752598762512207
8,2.6710000000000003,0.8578653335571289
8,2.586,1.737398386001587
8,2.744,0.8128259181976318
8,2.6,2.490959405899048
8,2.651,2.5925071239471436
8,2.729,1.6833126544952393
8,2.6470000000000002,0.9213080406188965
8,2.664,0.8387510776519775
8,2.6559999999999997,1.730865240097046
8,2.5220000000000007,2.8401081562042236
8,2.75,2.217392921447754
8,2.657,1.1707789897918701
8,2.746,1.4584197998046875
8,2.2649999999999997,0.9500858783721924
8,2.739,2.0736470222473145
8,2.702,1.1364426612854004
8,2.661,0.8129761219024658
8,2.4939999999999998,1.4059889316558838
8,2.668,1.9897432327270508
8,2.688,1.6428537368774414
8,2.5020000000000002,1.5236120223999023
8,2.6130000000000004,0.8048386573791504
8,2.615,1.7412540912628174
8,2.6990000000000003,1.1171908378601074
8,2.615,1.7417149543762207
8,2.585,1.7739014625549316
8,2.471,1.2145819664001465
8,2.717,1.667015790939331
8,2.7030000000000003,1.1544289588928223
8,2.6420000000000003,0.8439395427703857
8,2.685,2.5482373237609863
8,2.715,0.9343371391296387
8,2.6100000000000003,1.1791441440582275
8,2.658,1.1176741123199463
8,2.645,1.1505186557769775
8,2.6109999999999998,1.2142183780670166
8,2.7020000000000004,1.3634660243988037
8,2.686,1.8102879524230957
8,2.618,1.1456403732299805
8,2.701,0.8038439750671387
8,2.6740000000000004,2.136021375656128
8,2.659,0.9058253765106201
8,2.5629999999999997,0.8280670642852783
8,2.7510000000000003,0.7851486206054688
8,2.653,0.5481958389282227
8,2.729,1.231379747390747
8,2.684,1.6301836967468262
8,2.75,1.2941467761993408
8,2.72,1.4579875469207764
8,2.6710000000000003,1.4180755615234375
8,2.717,1.2408185005187988
8,2.691,1.4257819652557373
8,2.676,0.5183205604553223
8,2.653,1.064690113067627
8,2.724,1.8588273525238037
8,2.553,0.9192907810211182
8,2.704,0.9229617118835449
8,2.798,1.1506004333496094
10,2.518,1.6015119552612305
10,2.4200000000000004,1.3881139755249023
10,2.732,4.054304122924805
10,2.636,0.9381332397460938
10,2.6399999999999997,1.6689205169677734
10,2.657,1.986795425415039
10,2.7230000000000003,1.666426181793213
10,2.652,1.002518892288208
10,2.704,1.3512511253356934
10,2.6710000000000003,2.5947632789611816
10,2.702,1.5896186828613281
10,2.657,2.7108826637268066
10,2.6580000000000004,0.7438619136810303
10,2.709,2.2453269958496094
10,2.706,2.0654375553131104
10,2.717,1.846341848373413
10,2.419,1.0914630889892578
10,2.702,1.616410732269287
10,2.668,1.0702779293060303
10,2.566,0.9939661026000977
10,2.5860000000000003,1.3836514949798584
10,2.695,1.2793583869934082
10,2.691,1.7082946300506592
10,2.619,1.2652485370635986
10,2.726,2.6769165992736816
10,2.618,1.6478776931762695
10,2.618,2.0426275730133057
10,2.561,1.7685706615447998
10,2.661,0.45795321464538574
10,2.7960000000000003,3.7925925254821777
10,2.697,2.228637933731079
10,2.4210000000000003,1.2728326320648193
10,2.675,2.009050130844116
10,2.644,2.156449794769287
10,2.6189999999999998,1.4588580131530762
10,2.5959999999999996,2.6066205501556396
10,2.653,1.453183650970459
10,2.697,2.4282565116882324
10,2.675,1.330129861831665
10,2.681,2.142385721206665
10,2.5660000000000003,1.063262701034546
10,2.7190000000000003,2.143399238586426
10,2.606,1.8460917472839355
10,2.7199999999999998,1.3190851211547852
10,2.619,1.2775001525878906
10,2.715,2.129190444946289
10,2.6910000000000003,1.316145658493042
10,2.67,0.6365432739257812
10,2.727,1.2675058841705322
10,2.6149999999999998,1.0340101718902588
10,2.7310000000000003,2.1676816940307617
10,2.431,1.8454270362854004
10,2.742,2.717437744140625
10,2.6239999999999997,1.4073429107666016
10,2.7,2.702202081680298
10,2.729,2.0237693786621094
10,2.499,1.0100739002227783
10,2.707,1.8561203479766846
10,2.564,1.309805154800415
10,2.57,0.9061791896820068
10,2.692,0.9579875469207764
10,2.525,0.8747801780700684
10,2.641,1.2413699626922607
10,2.627,1.1269218921661377
10,2.5800000000000005,1.275636911392212
10,2.705,1.7825016975402832
10,2.6630000000000003,1.3992135524749756
10,2.6990000000000003,0.8188560009002686
10,2.655,1.126117467880249
10,2.6439999999999997,0.8447861671447754
10,2.6470000000000002,1.1125271320343018
10,2.664,1.1602272987365723
10,2.717,1.686596393585205
10,2.646,1.9624767303466797
10,2.5330000000000004,1.5758514404296875
10,2.621,1.2047181129455566
10,2.675,1.389296293258667
10,2.729,1.4520518779754639
10,2.713,2.041492223739624
10,2.537,1.5724880695343018
10,2.6390000000000002,1.7734932899475098
10,2.623,1.1280665397644043
10,2.5160000000000005,1.7367627620697021
10,2.628,1.9039013385772705
10,2.6630000000000003,2.209610939025879
10,2.5279999999999996,1.3021697998046875
10,2.665,1.7534067630767822
10,2.6340000000000003,0.7451386451721191
10,2.5060000000000002,0.6006684303283691
10,2.631,1.218503713607788
10,2.6130000000000004,2.3882346153259277
10,2.6109999999999998,0.9617478847503662
10,2.508,1.2102241516113281
10,2.713,0.7649283409118652
10,2.6420000000000003,1.9668195247650146
10,2.663,1.5112078189849854
10,2.6990000000000003,0.9043853282928467
10,2.5149999999999997,1.3975837230682373
10,2.718,1.7780842781066895
10,2.724,0.704697847366333
25,2.7220000000000004,1.9832313060760498
25,2.6670000000000003,1.1536071300506592
25,2.7470000000000003,1.775163173675537
25,2.685,0.8561944961547852
25,2.724,2.0081944465637207
25,2.714,2.0350122451782227
25,2.7,2.4538066387176514
25,2.7039999999999997,2.3723437786102295
25,2.6950000000000003,3.4278483390808105
25,2.696,1.4217567443847656
25,2.7060000000000004,2.189272880554199
25,2.669,1.809892177581787
25,2.728,2.4883182048797607
25,2.6480000000000006,2.3554494380950928
25,2.71,1.954071044921875
25,2.7359999999999998,2.7259342670440674
25,2.59,1.7405767440795898
25,2.618,1.1880159378051758
25,2.641,1.144669532775879
25,2.7110000000000003,3.4776384830474854
25,2.675,1.4264135360717773
25,2.645,1.4692270755767822
25,2.711,1.4341142177581787
25,2.6409999999999996,2.826401710510254
25,2.66,2.8877618312835693
25,2.6559999999999997,1.4676947593688965
25,2.675,1.9548077583312988
25,2.7060000000000004,2.107569456100464
25,2.696,1.6190266609191895
25,2.5520000000000005,1.1325294971466064
25,2.666,1.2501499652862549
25,2.524,1.5445494651794434
25,2.441,1.9741885662078857
25,2.662,2.695469617843628
25,2.425,1.0079307556152344
25,2.6239999999999997,2.5644540786743164
25,2.742,1.450218677520752
25,2.629,1.8276793956756592
25,2.441,1.8724784851074219
25,2.7359999999999998,1.9594166278839111
25,2.6610000000000005,0.868206262588501
25,2.658,1.435854434967041
25,2.605,2.3196473121643066
25,2.597,2.0365726947784424
25,2.73,1.394824743270874
25,2.6410000000000005,0.8511166572570801
25,2.722,2.5580081939697266
25,2.63,1.1470625400543213
25,2.6719999999999997,1.663743257522583
25,2.603,0.8876266479492188
25,2.646,0.8347082138061523
25,2.6,1.1288366317749023
25,2.7060000000000004,1.4477038383483887
25,2.493,0.89162278175354
25,2.7039999999999997,1.3887732028961182
25,2.3930000000000002,0.846808671951294
25,2.5650000000000004,1.234835147857666
25,2.757,1.1724300384521484
25,2.6340000000000003,1.1594367027282715
25,2.629,1.1578888893127441
25,2.7150000000000003,1.0880732536315918
25,2.724,1.9458692073822021
25,2.659,1.4540674686431885
25,2.6189999999999998,1.3983864784240723
25,2.584,2.0072662830352783
25,2.7190000000000003,1.460446834564209
25,2.625,0.5679292678833008
25,2.6380000000000003,1.880723237991333
25,2.468,1.2206902503967285
25,2.698,1.454132318496704
25,2.713,1.4149537086486816
25,2.699,1.1200251579284668
25,2.6020000000000003,1.7544116973876953
25,2.666,1.869173288345337
25,2.712,2.483372211456299
25,2.743,1.257964849472046
25,2.7489999999999997,2.274876117706299
