generations,score,time
20,2.7310000000000003,22.655561208724976
20,2.721,22.479060173034668
20,2.7939999999999996,22.63441014289856
20,2.75,22.206234455108643
20,2.688,22.65814971923828
20,2.696,22.56850242614746
20,2.723,22.48095202445984
20,2.6990000000000003,22.61378049850464
20,2.743,22.210975408554077
20,2.6889999999999996,22.332207918167114
20,2.777,22.70535111427307
20,2.698,22.118073225021362
20,2.726,22.55619478225708
20,2.724,22.316326379776
20,2.7939999999999996,22.817179441452026
20,2.725,11.384837865829468
20,2.782,11.403047800064087
20,2.6879999999999997,11.512901067733765
20,2.724,11.257306098937988
20,2.774,11.505658626556396
100,2.747,107.22359108924866
100,2.694,109.41773009300232
100,2.726,108.94501185417175
100,2.7920000000000003,108.97710990905762
100,2.715,107.38870167732239
100,2.714,109.76999521255493
100,2.717,108.9807722568512
100,2.7009999999999996,108.36907625198364
100,2.724,108.64547038078308
100,2.6980000000000004,108.15993046760559
100,2.6870000000000003,106.52767872810364
100,2.719,109.36651682853699
100,2.713,108.70066618919373
100,2.738,109.60140991210938
100,2.781,107.45976281166077
100,2.698,57.580331325531006
100,2.729,53.89286422729492
100,2.797,53.590237617492676
100,2.778,53.786882162094116
100,2.787,53.7149076461792
250,2.761,264.5254592895508
250,2.7060000000000004,272.8403813838959
250,2.758,272.6081247329712
250,2.7199999999999998,273.71803188323975
250,2.7370000000000005,264.88213443756104
250,2.769,271.1218059062958
250,2.748,269.97769045829773
250,2.7939999999999996,271.79558753967285
250,2.782,268.2800130844116
250,2.793,269.69722056388855
250,2.7090000000000005,264.9953422546387
250,2.81,269.52046251296997
250,2.714,270.07079005241394
250,2.79,271.7187201976776
250,2.7079999999999997,269.21243357658386
250,2.802,140.57415795326233
250,2.7,131.19071626663208
250,2.7540000000000004,131.1854133605957
250,2.773,130.2690670490265
250,2.7439999999999998,129.15958523750305
500,2.7700000000000005,545.726060628891
500,2.7540000000000004,542.8293075561523
500,2.7250000000000005,533.9383366107941
500,2.712,541.7275769710541
500,2.718,533.3410210609436
500,2.803,544.0062346458435
500,2.778,539.1382975578308
500,2.7800000000000002,542.6161961555481
500,2.798,533.3899624347687
500,2.81,540.2531304359436
500,2.721,534.949869632721
500,2.713,541.7680475711823
500,2.729,541.2615671157837
500,2.784,542.9623303413391
500,2.71,539.8268232345581
500,2.776,262.6169319152832
500,2.751,258.3628258705139
500,2.754,258.8509204387665
500,2.7960000000000003,260.93450832366943
500,2.79,256.7847754955292
1000,2.733,1050.396296262741
1000,2.752,1077.5147726535797
1000,2.729,1052.3199110031128
1000,2.786,1071.5600726604462
1000,2.7380000000000004,1084.4696116447449
1000,2.738,1077.5558061599731
1000,2.784,1073.3342111110687
1000,2.734,1080.5868155956268
1000,2.735,1070.9699444770813
1000,2.746,1049.1591880321503
1000,2.7329999999999997,1071.7893109321594
1000,2.804,1076.7420523166656
1000,2.747,1077.4107315540314
1000,2.795,1072.4924128055573
1000,2.7030000000000003,1051.099496126175
1000,2.77,534.8933868408203
1000,2.802,524.874018907547
1000,2.7790000000000004,529.0751717090607
1000,2.776,530.33886551857
1000,2.773,520.8386900424957
