mutation_rate,score,time
0.0001,2.716,263.16680455207825
0.0001,2.754,270.8329267501831
0.0001,2.741,273.8324418067932
0.0001,2.763,270.30561995506287
0.0001,2.723,270.01388120651245
0.0001,2.774,268.59224939346313
0.0001,2.7630000000000003,265.1788423061371
0.0001,2.739,266.7082693576813
0.0001,2.7939999999999996,271.33226919174194
0.0001,2.686,272.92274379730225
0.0001,2.717,271.0756051540375
0.0001,2.765,271.3389370441437
0.0001,2.7169999999999996,272.1436219215393
0.0001,2.716,266.6322672367096
0.0001,2.7430000000000003,269.84910321235657
0.0001,2.746,135.86043405532837
0.0001,2.744,134.40933966636658
0.0001,2.789,140.6340970993042
0.0001,2.748,140.9197335243225
0.0001,2.688,132.09173130989075
0.001,2.7960000000000003,270.3262176513672
0.001,2.789,271.3074834346771
0.001,2.6770000000000005,271.1000418663025
0.001,2.7399999999999998,263.8563013076782
0.001,2.778,271.1863009929657
0.001,2.79,267.48866176605225
0.001,2.732,264.00620007514954
0.001,2.79,269.99563121795654
0.001,2.8040000000000003,268.15887212753296
0.001,2.7310000000000003,264.9342682361603
0.001,2.786,270.1896696090698
0.001,2.766,269.8629295825958
0.001,2.7600000000000002,271.3195252418518
0.001,2.714,270.2861490249634
0.001,2.798,262.8289668560028
0.001,2.791,135.00532627105713
0.001,2.75,134.06397342681885
0.001,2.806,133.83417963981628
0.001,2.7350000000000003,133.47821187973022
0.001,2.7860000000000005,130.95297861099243
0.01,2.782,267.80414390563965
0.01,2.7960000000000003,274.53064346313477
0.01,2.7560000000000002,273.9472773075104
0.01,2.7860000000000005,274.03817677497864
0.01,2.777,274.1000111103058
0.01,2.705,268.45804595947266
0.01,2.79,273.65042638778687
0.01,2.6990000000000003,272.84633207321167
0.01,2.771,274.05787658691406
0.01,2.77,273.0526671409607
0.01,2.826,271.72632694244385
0.01,2.702,269.4997978210449
0.01,2.749,273.94698882102966
0.01,2.798,273.82798433303833
0.01,2.7670000000000003,266.3472559452057
0.01,2.7960000000000003,131.46947169303894
0.01,2.822,131.1264979839325
0.01,2.762,131.0901153087616
0.01,2.758,137.47214531898499
0.01,2.7880000000000003,129.49794578552246
0.1,2.79,282.6129333972931
0.1,2.79,278.46563172340393
0.1,2.759,277.34701108932495
0.1,2.7439999999999998,283.13802576065063
0.1,2.742,282.7232782840729
0.1,2.748,281.2550630569458
0.1,2.781,281.7722473144531
0.1,2.774,281.3044536113739
0.1,2.762,281.9658136367798
0.1,2.761,282.51066613197327
0.1,2.7920000000000003,282.68298745155334
0.1,2.7439999999999998,281.78252482414246
0.1,2.8110000000000004,278.1104664802551
0.1,2.741,277.86717414855957
0.1,2.7939999999999996,281.803427696228
0.1,2.774,136.03865814208984
0.1,2.75,142.86457180976868
0.1,2.7939999999999996,143.93606567382812
0.1,2.7640000000000002,140.80030918121338
0.1,2.782,133.47174334526062
0.5,2.7079999999999997,283.5492351055145
0.5,2.757,283.34547305107117
0.5,2.743,283.699955701828
0.5,2.7020000000000004,282.7219457626343
0.5,2.7760000000000002,277.8069713115692
0.5,2.773,276.7482843399048
0.5,2.717,283.3513741493225
0.5,2.707,283.6232318878174
0.5,2.776,282.77248644828796
0.5,2.778,277.2113444805145
0.5,2.753,282.8733665943146
0.5,2.746,275.79306268692017
0.5,2.6790000000000003,283.14315366744995
0.5,2.6730000000000005,283.76038670539856
0.5,2.6559999999999997,283.3230080604553
0.5,2.733,138.16876792907715
0.5,2.75,137.51300311088562
0.5,2.726,136.52510356903076
0.5,2.766,136.9892771244049
0.5,2.8040000000000003,134.0195460319519
