memory_depth,score,time
1,2.618,1.8653037548065186
1,2.614,1.8947043418884277
1,2.627,1.8337960243225098
1,2.612,1.841524362564087
1,2.6290000000000004,1.9603683948516846
1,2.614,1.8894166946411133
1,2.6239999999999997,1.906297206878662
1,2.628,1.8380374908447266
1,2.612,1.8788187503814697
1,2.6290000000000004,1.8896996974945068
1,2.617,1.8965566158294678
1,2.613,1.8948748111724854
1,2.612,1.9109580516815186
1,2.612,1.867492914199829
1,2.612,1.923039197921753
1,2.636,1.8925230503082275
1,2.623,1.9086863994598389
1,2.615,1.9151115417480469
1,2.6239999999999997,1.8939995765686035
1,2.621,1.8811466693878174
1,2.608,1.9047842025756836
1,2.641,1.8984029293060303
1,2.5989999999999998,1.9280095100402832
1,2.614,1.9167759418487549
1,2.615,1.875685453414917
1,2.607,1.8745203018188477
1,2.628,1.838547945022583
1,2.623,1.8767979145050049
1,2.614,1.88242506980896
1,2.625,1.8749325275421143
2,2.786,7.288464069366455
2,2.816,7.443552255630493
2,2.768,7.4847142696380615
2,2.822,7.202480316162109
2,2.747,7.2566447257995605
2,2.7800000000000002,7.367183208465576
2,2.748,7.412827491760254
2,2.768,7.469485521316528
2,2.793,7.3600640296936035
2,2.79,7.346750020980835
2,2.806,7.309041500091553
2,2.7600000000000002,7.459108352661133
2,2.771,7.337100505828857
2,2.816,7.4016501903533936
2,2.791,7.341382026672363
2,2.798,7.268623113632202
2,2.779,7.359779357910156
2,2.732,7.353102684020996
2,2.79,7.231508731842041
2,2.7800000000000002,7.3571343421936035
2,2.75,7.316812515258789
2,2.808,7.379669904708862
2,2.7939999999999996,7.314845561981201
2,2.804,7.360851764678955
2,2.757,7.310575246810913
2,2.81,7.3442769050598145
2,2.802,7.310198068618774
2,2.7439999999999998,7.35127329826355
2,2.772,7.240954637527466
2,2.75,7.341233015060425
3,2.8280000000000003,29.4414005279541
3,2.753,28.604858875274658
3,2.7960000000000003,29.25790286064148
3,2.7439999999999998,28.903709411621094
3,2.8020000000000005,29.321258783340454
3,2.7060000000000004,29.076327085494995
3,2.7380000000000004,29.549241542816162
3,2.755,29.227399349212646
3,2.75,29.335937023162842
3,2.748,28.697547674179077
3,2.778,29.148419857025146
3,2.7640000000000002,29.009524822235107
3,2.7230000000000003,28.294975757598877
3,2.749,29.435468673706055
3,2.7990000000000004,29.253201723098755
3,2.7640000000000002,28.90367579460144
3,2.711,28.939777135849
3,2.739,29.338159799575806
3,2.765,29.77892279624939
3,2.782,29.508901834487915
3,2.815,29.335693836212158
3,2.807,29.64336347579956
3,2.774,29.60849404335022
3,2.739,30.053096771240234
3,2.7640000000000002,29.509546041488647
3,2.7310000000000003,29.593412399291992
3,2.7369999999999997,29.44183349609375
3,2.699,29.64873456954956
3,2.754,29.381250619888306
3,2.788,29.55977725982666
4,2.709,125.52984952926636
4,2.6790000000000003,122.26629757881165
4,2.7199999999999998,128.12018394470215
4,2.675,126.71785235404968
4,2.717,127.76648569107056
4,2.752,121.7565324306488
4,2.697,121.44456624984741
4,2.7180000000000004,120.94946765899658
4,2.728,122.27096772193909
4,2.709,132.72974610328674
4,2.708,127.85461711883545
4,2.733,126.94801449775696
4,2.702,127.3612470626831
4,2.6900000000000004,119.92220163345337
4,2.7239999999999998,119.66576957702637
4,2.729,114.65075445175171
4,2.678,117.36395931243896
4,2.706,120.72730541229248
4,2.761,114.25042009353638
4,2.717,112.7839937210083
4,2.712,113.15985202789307
4,2.695,115.32321572303772
4,2.7359999999999998,113.46227598190308
4,2.732,113.86473202705383
4,2.675,114.64639210700989
4,2.734,113.7015540599823
4,2.7350000000000003,113.24895000457764
4,2.648,113.82154202461243
4,2.716,114.12054562568665
4,2.694,110.88004660606384
5,2.6529999999999996,495.5416123867035
5,2.7060000000000004,474.57707834243774
5,2.6730000000000005,466.1570167541504
5,2.731,459.92814588546753
5,2.684,465.03571605682373
5,2.669,476.55535364151
5,2.7119999999999997,473.2002956867218
5,2.6700000000000004,494.29106998443604
5,2.69,491.76997900009155
5,2.693,485.31657433509827
5,2.7009999999999996,491.05122351646423
5,2.741,469.9567406177521
5,2.7,488.0764949321747
5,2.7119999999999997,476.632611989975
5,2.666,464.16276454925537
5,2.684,477.43311882019043
5,2.7039999999999997,460.6401038169861
5,2.721,467.2124967575073
5,2.718,467.1867210865021
5,2.69,461.9914553165436
5,2.698,467.21328020095825
5,2.7270000000000003,464.58441638946533
5,2.6719999999999997,462.5402579307556
5,2.7169999999999996,465.8334164619446
5,2.691,457.8163137435913
5,2.673,455.36868047714233
5,2.7030000000000003,455.3860385417938
5,2.659,457.0970425605774
5,2.67,455.4230134487152
5,2.6819999999999995,456.13376235961914
