generations,score,time
10,2.5675,1.689051866531372
10,2.5975,1.7026102542877197
10,2.69625,1.7325961589813232
10,2.59,1.6509342193603516
10,2.7475000000000005,1.7292366027832031
20,2.66625,2.3720521926879883
20,2.7862500000000003,2.357041120529175
20,2.5125,2.4446351528167725
20,2.59375,2.474825620651245
20,2.6624999999999996,2.3813390731811523
30,2.63,3.63960599899292
30,2.7249999999999996,3.6877992153167725
30,2.64375,3.6299781799316406
30,2.735,3.6993000507354736
30,2.5125,3.5886294841766357
