generations,score,time
10,2.6050000000000004,2.755302906036377
10,2.635,2.701734781265259
10,2.5324999999999998,2.7096774578094482
10,2.63125,2.696197986602783
10,2.6575,2.715451717376709
20,2.605,4.317675352096558
20,2.5925000000000002,4.288472890853882
20,2.6662500000000002,4.337981462478638
20,2.7062500000000003,4.474286317825317
20,2.74,4.5493998527526855
30,2.62875,6.050597667694092
30,2.61125,6.035069942474365
30,2.6475,5.831324100494385
30,2.7325,6.145340919494629
30,2.7262500000000003,6.243326663970947
