pop_size,score,time
20,2.6050000000000004,2.8291969299316406
20,2.6174999999999997,2.973991870880127
20,2.71,2.9492578506469727
20,2.63875,2.8523805141448975
20,2.6012500000000003,2.90405011177063
10,2.54625,1.2298531532287598
10,2.6975000000000002,1.180544376373291
10,2.54,1.2308907508850098
10,2.64375,1.2399380207061768
10,2.6799999999999997,1.2775170803070068
