memory_depth,score,time
3,2.6725,7.368217706680298
3,2.65625,8.044733762741089
3,2.71,7.221449613571167
3,2.555,5.94759726524353
3,2.5999999999999996,7.294003009796143
3,2.6312500000000005,8.028504848480225
3,2.53125,7.427037715911865
3,2.585,6.12518835067749
3,2.57125,1.8538036346435547
3,2.8287499999999994,8.695852756500244
4,2.73,24.592588901519775
4,2.5237499999999997,17.506725311279297
4,2.62125,24.796250104904175
4,2.7024999999999997,24.568685054779053
4,2.55,20.566184997558594
4,2.72375,23.261096477508545
4,2.6662500000000002,23.617116928100586
4,2.6812500000000004,26.900322198867798
4,2.69875,24.04588484764099
4,2.625,22.53867506980896
