generations,score,time
10,2.6500000000000004,5.214604139328003
10,2.6687499999999997,7.723864793777466
10,2.59875,7.6561057567596436
10,2.5675000000000003,5.724435567855835
10,2.615,7.736970663070679
20,2.6475000000000004,4.907782316207886
20,2.73625,4.803933143615723
20,2.7025,4.7302539348602295
20,2.6350000000000002,4.613804578781128
20,2.62,4.787794589996338
30,2.6037500000000002,8.03858995437622
30,2.6225,7.992027997970581
30,2.6175,7.621815919876099
30,2.7987500000000005,8.210127353668213
30,2.6950000000000003,7.977787971496582
