generations,score,time
10,2.615,4.480100870132446
10,2.6412500000000003,4.4527740478515625
10,2.59875,4.541091203689575
10,2.7662500000000003,4.543254375457764
10,2.59375,4.464603900909424
20,2.645,8.785683631896973
20,2.785,8.843438386917114
20,2.66875,9.266044616699219
20,2.68625,8.86847996711731
20,2.575,9.278636693954468
30,2.615,7.368984222412109
30,2.4987500000000002,7.2650322914123535
30,2.6750000000000003,7.186950445175171
30,2.56,7.0493810176849365
30,2.5475000000000003,7.578660011291504
