generations,score,time
100,2.57625,1.632587194442749
100,2.76,2.4153997898101807
100,2.5149999999999997,1.0189826488494873
100,2.76625,1.663008689880371
100,2.705,1.9048562049865723
100,2.65375,2.3924548625946045
100,2.5687499999999996,2.65205717086792
100,2.8012500000000005,2.3853354454040527
100,2.6075,1.5930595397949219
100,2.57375,0.5640835762023926
50,2.75,2.6778817176818848
50,2.60875,1.977959394454956
50,2.7575,2.129318952560425
50,2.6625000000000005,2.4444944858551025
50,2.8000000000000003,2.093780755996704
50,2.64,1.2394342422485352
50,2.6525000000000003,0.889035701751709
50,2.72375,0.5037107467651367
50,2.63625,2.4109866619110107
50,2.63375,2.1539084911346436
