mutation_rate,score,time
0.01,2.6687499999999997,2.5812339782714844
0.01,2.575,2.5388267040252686
0.01,2.71125,2.54081654548645
0.01,2.70875,2.6145026683807373
0.01,2.7824999999999998,2.575996160507202
0.05,2.70375,2.7450287342071533
0.05,2.6574999999999998,2.7637104988098145
0.05,2.6750000000000003,2.8179738521575928
0.05,2.6825,2.7216575145721436
0.05,2.6462499999999998,2.806248903274536
